feature,mi_score
Writing,0.009808823706061398
K-pop,0.006984524972103445
Languages,0.006146397683294724
Movies,0.005665924750369644
Traveling,0.0056476458820919895
Stand-up Comedy,0.005133020933217214
Startups,0.005129557111700933
Cooking,0.005050615805537673
MMA,0.004884245047763969
Astrology,0.004715522042170184
feat_income_high,0.004538693188273157
likes_received,0.0044937697936753285
Motorcycling,0.004198587591286662
Parenting,0.004133794587916295
Gaming,0.0041276715422970955
Foodie,0.004095383373890149
Sneaker Culture,0.0038498828380955086
Investing,0.0037306397177021555
Poetry,0.003539048318521809
app_usage_time_label,0.0033802918395549053
Tattoos,0.0033223928009289416
Photography,0.003226763841007063
Fashion,0.003088713929368936
swipe_time_of_day,0.002903011570095426
Hiking,0.0025845223367584325
age,0.0023448609061511583
Clubbing,0.002334006266262456
DIY,0.0022887970706082506
height_cm,0.0021358354372402744
profile_pics_count,0.0021153672661746725
Podcasts,0.0021037206068186265
Dancing,0.0020771162580910385
Fitness,0.002068630149611783
Meditation,0.0020649756736521585
weight_kg,0.0016867374296190007
Painting,0.0016489714338256967
last_active_hour,0.0015946593372626605
Board Games,0.0014930743735130925
Social Activism,0.0009512263391104891
swipe_right_ratio,0.0009033136231633154
Art,0.0007984594488612551
mutual_matches,0.0007404482993011996
Coding,0.0006699836528740732
Cars,0.0005879444855287908
Politics,0.0005695595207839688
location_type,0.00041851798387315675
Music,0.0003712141876532904
Crafting,0.00019086556203107286
Memes,9.385115685378587e-05
Tech,8.819589057207367e-05
Spirituality,0.0
Running,0.0
Skating,0.0
Yoga,0.0
feat_edu_high,0.0
gender,0.0
Gardening,0.0
Reading,0.0
Pets,0.0
Makeup,0.0
History,0.0
sexual_orientation,0.0
Binge-Watching,0.0
Anime,0.0
body_type,0.0
zodiac_sign,0.0
emoji_usage_rate,0.0
message_sent_count,0.0
bio_length,0.0
swipe_right_label,0.0
app_usage_time_min,0.0
feat_intent_high,0.0
